#{"t_start": 1777130563.5211067, "env_id": "None"}
r,l,t
1113.629758,702,9.420319
743.698176,704,13.52629
1501.505848,967,20.509497
565.895128,650,25.131634
714.181829,698,29.97837
881.307027,569,36.995879
823.381039,561,40.979289
835.651948,656,45.972882
1576.092934,991,53.185849
634.271966,701,58.907214
539.013747,502,62.944202
432.334772,628,69.409319
1015.550551,594,74.552744
334.538238,637,79.249297
1584.618262,976,154.948615
1006.131754,770,160.66312
1210.826188,823,166.553358
820.247043,721,174.974362
1511.873355,882,180.778151
900.518539,728,186.037678
475.358906,490,190.119452
745.629293,853,197.715781
569.837663,516,202.209564
944.713111,1017,211.800382
507.953227,617,216.163189
290.77464,459,220.332764
581.667445,560,225.088388
864.681615,784,231.55743
1331.225785,1019,274.617197
1081.131912,815,280.725442
837.984401,984,288.079868
260.301733,551,292.01701
757.415829,533,296.163848
1172.433291,646,299.627396
465.805743,641,306.473099
492.813207,612,310.614902
1515.837873,1488,321.361217
908.170481,482,324.927004
792.546892,669,329.243905
1573.703556,974,339.621244
528.664506,559,343.544163
1602.096644,1011,372.493839
818.702351,642,377.4081
355.673989,464,380.942295
312.019156,450,382.986337
560.693535,558,390.806475
780.097352,590,395.702199
1171.734282,668,401.146743
574.275604,712,406.032619
558.707652,596,410.303379
1046.462681,782,414.727206
758.226019,711,422.398374
744.762605,502,425.862083
868.08571,1038,433.714132
997.243099,781,439.713237
1753.005663,1192,468.623484
1511.349938,931,480.04408
481.052728,537,484.053097
547.10319,530,488.471343
1271.815083,673,493.544744
97.528948,2578,513.168555
1082.866661,569,517.343036
1720.186425,1039,525.268233
561.831225,781,530.812346
1719.516551,932,537.575645
447.420378,448,543.228851
493.175313,562,567.307159
373.19809,495,570.65627
733.300575,702,575.601551
1993.813685,1534,585.268561
585.895795,635,593.461428
1015.041142,809,600.250111
687.511273,514,603.924325
359.567817,779,609.58964
521.735751,555,612.372114
1155.636651,866,620.034012
801.041373,624,628.097505
667.569943,590,632.530353
893.5496,684,637.357796
1109.979161,1642,670.36443
1548.519499,1097,679.780662
1038.963297,854,685.708601
535.661519,1270,694.884004
517.453201,626,699.567597
800.276441,464,701.671634
338.222736,523,705.298584
667.950883,774,713.391219
1355.350299,1143,721.483896
719.7433,1259,730.270476
418.907679,475,733.830028
1263.081967,1168,771.597121
523.555093,544,775.646174
1028.704267,717,780.727283
1139.603051,1070,787.029894
313.937355,530,790.869082
947.55275,533,795.451471
153.116893,643,803.04101
1086.651072,726,808.027421
727.590175,652,812.505399
218.433056,951,818.043025
640.333148,987,825.755643
246.507026,479,832.212629
920.905582,878,838.408084
1780.891344,1167,845.843784
307.959349,439,891.534283
298.425729,733,896.572555
941.133787,635,900.65262
982.753041,604,907.928684
420.336548,520,911.430876
1596.484158,1163,919.922721
1200.708796,1537,930.941275
908.000387,1102,941.674005
643.505884,839,947.515007
1496.772171,3290,1011.550195
484.157678,429,1014.48211
1500.289238,1477,1023.148951
372.322255,528,1026.726847
529.520924,1384,1038.546793
452.154517,2509,1053.906908
761.908183,3251,1133.590754
779.152771,1543,1144.18879
1978.404318,1951,1159.95647
733.364541,1667,1170.344366
995.252568,723,1174.982043
2366.170942,1820,1189.408659
1121.084216,2056,1269.766795
2614.765772,3600,1297.284848
4761.630776,3600,1323.690562
-34.837939,1246,1332.827158
2253.998124,3600,1447.852916
108.580804,2628,1468.266273
2424.707678,1386,1477.626936
1372.021964,1101,1488.427781
2414.087551,1413,1498.035743
4511.343634,3600,1620.277051
3727.263518,3600,1645.599904
4503.820355,3600,1671.62276
7229.182132,3600,1792.788397
1852.241523,2651,1815.051868
2936.732955,3600,1843.202823
4607.611089,3600,1972.193195
6013.410379,3600,1999.086276
4319.953237,3600,2148.898758
5494.975244,2987,2168.024843
4601.000417,3600,2195.796729
5904.199243,3600,2335.168139
6413.408549,3600,2360.556561
5327.558691,3600,2385.526476
3876.875457,3600,2519.359658
4930.541497,3600,2546.601887
6910.987351,3600,2570.160964
2879.360267,3600,2707.599757
2566.23957,2213,2723.530662
4300.422027,3380,2747.521049
2929.635092,3600,2887.05642
6653.21837,3600,2910.895032
7447.907508,3600,2935.327438
3801.299565,3600,3072.744548
6421.83878,3600,3098.017843
5575.547445,3600,3123.55063
3483.778059,3600,3260.188189
8670.828096,3600,3287.347176
2197.415696,3600,3312.706914
7659.043086,3600,3447.540288
5441.911426,3600,3469.288954
7785.761413,3600,3604.769517
1675.502488,3351,3632.941688
6848.011407,3600,3658.954644
7466.790954,3600,3886.061425
7491.792217,3600,3913.239559
4442.728716,3600,3938.220502
6039.637881,3600,4088.57946
2712.729083,3600,4113.391743
6866.391232,3600,4137.419123
4295.201058,3600,4266.57558
2432.884493,3600,4292.426286
6376.069727,3600,4425.803451
7422.158902,3600,4451.553973
3371.269958,3600,4478.2316
7005.026728,3600,4613.5125
5801.63877,3600,4636.293783
3648.634069,3600,4661.003353
5951.411632,3600,4797.035109
3822.178345,3487,4821.69017
2919.484994,3600,4846.273135
4899.700418,3600,4982.874624
3907.283666,3265,5005.593833
4224.39889,3600,5028.856151
4037.426005,3600,5163.900773
2258.846363,3600,5189.774002
6294.72975,3600,5325.710112
7705.254027,3600,5350.160475
7132.650421,3600,5375.339265
5464.168224,3600,5510.142879
3550.907965,3600,5534.882145
7777.076748,3600,5557.097295
5159.89929,3600,5692.943774
6557.253398,3600,5717.657612
5004.469315,3600,5742.40782
8097.590316,3600,5877.664928
5441.924312,3600,5904.13906
6988.913944,3600,5928.603524
6257.054299,3600,6062.989027
5410.756749,3600,6088.301992
5518.370923,3600,6221.320685
7826.052512,3600,6246.377057
6504.320128,3600,6273.326004
5924.436008,3600,6480.525306
5527.651917,3600,6512.605002
4975.272302,3600,6540.15323
5646.837911,3600,6686.831089
3208.036485,3600,6713.528756
6237.784448,3600,6736.266145
