#{"t_start": 1776998723.8737066, "env_id": "None"}
r,l,t
160.184235,1200,16.282443
1004.65343,10,16.434404
1100.13048,246,17.528721
-213.997818,1200,27.210156
-573.651205,1200,36.032095
1172.833539,435,43.801526
1118.912347,411,45.689774
1144.463269,382,48.443105
-548.841405,1200,57.394735
-579.374954,1200,68.074658
1083.836344,195,69.851897
1105.062112,243,72.553462
1083.70083,518,80.414211
1004.680642,10,80.508255
1131.050536,324,82.848508
-105.953077,1200,92.156837
246.794547,1200,134.593009
1133.46783,327,138.193485
-521.174566,1200,152.259225
1080.524716,183,154.446924
-225.734193,1200,164.728761
1236.998445,915,172.116162
1201.235753,628,178.819866
260.22197,1000,191.35871
-507.429972,1164,200.226192
1004.740771,10,200.321058
-92.575165,1200,209.459675
-508.898243,1200,246.067715
1161.852867,417,252.158872
-589.57318,1200,261.824983
1004.496321,10,261.952855
1222.317229,602,267.916002
1348.921741,1034,275.667335
-481.133557,1200,288.104989
-271.715019,1200,297.727815
1266.7573,1065,305.8744
-131.356512,1200,314.410316
-466.836927,1200,328.391444
1224.796122,1026,363.215406
1004.574525,10,363.300221
-484.503155,1200,371.645044
-526.065082,1200,381.434269
1119.63185,579,389.41973
-298.269344,535,393.435402
-224.78798,1200,400.723372
1004.598183,10,400.835812
1216.94734,1101,408.76931
-237.864462,429,411.95121
82.439368,1200,424.089266
1004.84092,10,424.201725
1004.614284,10,424.29837
-134.089789,470,426.753749
-145.76576,1200,435.245208
-306.601468,1200,476.52132
-244.187699,1200,487.99899
1157.851569,420,491.643947
82.63999,1200,500.946664
-407.986388,1200,510.384927
-517.948286,1200,521.117767
1139.531063,328,523.282287
-366.535904,1200,531.473601
995.689345,1089,539.114756
1159.365619,382,540.942252
-358.599157,1200,580.675841
71.171364,1200,588.931019
-605.223244,1200,598.734172
-279.624485,548,601.791517
2.353093,1200,612.54915
-98.056066,508,615.957393
-113.957082,1200,625.618289
-504.826273,1178,634.211878
1135.026993,326,639.757354
1004.739604,10,639.848135
-517.790489,1200,647.738935
1025.889212,57,648.228386
-545.61356,1200,656.415332
1157.038471,485,688.465588
-614.929549,1200,702.027693
1208.781293,580,706.319033
-467.789073,1200,714.809922
-448.296207,1200,722.205987
-240.524593,1200,734.069544
1004.718943,10,734.152185
1078.487547,479,737.647908
1363.821038,903,744.756599
-610.960399,1200,754.431589
1166.881702,408,758.3079
1236.072785,632,763.219484
-226.579434,1200,801.853347
-598.748293,1200,809.389224
45.633884,537,813.196409
-564.148146,1200,822.082896
