#{"t_start": 1777060259.3318992, "env_id": "None"}
r,l,t
1625.394045,1225,17.392489
1335.742268,1398,28.350991
-323.062437,1251,38.635048
1386.060242,725,49.317494
1935.838062,1414,59.411877
1466.491968,1171,68.398345
1523.890076,381,71.272285
-416.568824,628,79.407868
1586.020917,1261,90.308033
-355.876964,505,94.937117
1345.575998,1370,164.989746
1313.370171,797,171.842568
1342.639694,353,176.966943
1341.26068,1595,188.711885
2208.041528,2482,211.389255
1360.300029,673,217.254697
1676.326877,1661,230.202533
2212.322233,3311,333.015877
2194.41167,2957,375.557921
1731.506831,1094,383.652182
-348.0425,611,388.109187
2173.908222,2785,411.012253
2308.668296,2856,567.05145
1347.272448,7200,687.57023
1287.477401,1548,883.846063
955.30617,7200,983.938306
1351.19177,605,988.789624
-568.167229,1331,1213.393349
574.725363,7200,1297.361634
2029.226453,4359,1477.934654
223.236981,2068,1495.253026
814.225514,7200,1908.332845
1362.001099,544,1915.420528
1377.412181,1470,1935.949457
1579.610128,1028,1956.249729
643.391669,7200,2323.804219
1435.78201,1997,2358.052974
944.767799,7200,2737.903094
1288.598239,1231,2747.084127
-173.947786,7200,2808.387008
1424.436145,1303,2979.065381
464.536106,7200,3039.475898
-8.079193,7200,3271.461103
691.474999,7200,3502.439982
143.303178,7200,3560.38878
218.845239,7200,3850.280871
