#{"t_start": 1776982964.719402, "env_id": "None"}
r,l,t
2034.288215,1242,16.29228
-236.88389,903,22.593255
1673.44198,1360,36.513068
1452.825099,945,46.736578
1758.841147,1147,54.696458
1318.072351,1235,70.258009
1254.164217,1001,87.976917
2282.971654,1773,126.431856
1527.327463,1479,219.866434
2154.323735,1788,240.212876
1426.587431,432,243.732302
2222.961417,2052,259.23955
1794.418905,1327,272.439586
1326.914928,957,279.753772
2119.772714,2138,295.60601
1702.76664,886,353.471656
1442.643316,1026,361.709527
1265.401531,1251,370.583752
1567.444251,1291,380.938634
2206.309607,1951,399.653447
1399.948011,1270,409.416084
1963.170447,2356,430.105284
1250.463734,1356,494.559773
1845.240055,2188,514.326897
1365.173792,998,521.584007
1188.560076,1585,534.855267
1239.241558,7200,668.277352
1183.260516,7200,806.131098
-535.176816,825,811.677886
2515.415807,3993,848.092007
118.619769,7200,1252.143972
758.966215,7200,1315.069127
396.876727,7200,1520.534565
1248.930235,714,1526.590494
1311.563366,7200,1738.326342
1000.376229,7200,1996.454612
321.437433,7200,2064.589666
342.748461,7200,2349.517394
658.664401,7200,2685.853238
986.85142,7200,3021.81519
1271.737698,962,3029.319549
1256.507062,926,3036.890678
389.296787,7200,3107.417455
-349.504785,7200,3428.704016
