#{"t_start": 1777247350.1299899, "env_id": "None"}
r,l,t
-1024.409014,1337,21.166868
1670.996783,1076,28.711335
-808.40599,1276,38.845278
1948.396692,1833,58.894666
1852.495333,1814,73.820871
1938.470211,1951,91.01061
1775.753906,1786,154.395118
1687.008567,325,156.915784
1681.279366,883,163.242653
-342.352739,2154,181.157559
1715.714447,1202,190.504044
-382.495189,1148,200.847513
1931.595607,1977,215.660038
447.278127,2400,283.594455
1836.885226,1128,290.385208
697.492727,2400,311.353974
-501.514516,1829,323.704669
617.466314,2400,342.902486
1810.127907,800,349.024072
1959.355222,1482,421.102051
-343.200225,2279,439.222339
1914.815362,1395,449.988986
532.197054,2400,470.946776
-251.099353,849,477.469684
478.73993,2400,556.437109
53.777597,2400,578.056819
445.175334,2400,611.597015
358.612255,2400,648.938916
-388.860037,2077,681.970481
1763.743418,940,748.076408
383.652409,2400,766.232563
1806.522616,1182,776.809849
353.052743,2400,794.67124
429.862225,2400,816.574774
-869.240101,1077,883.059229
516.545978,2400,905.433469
-384.272009,908,910.891355
325.879589,2400,935.342525
1905.443652,1502,945.179417
-394.017792,2137,961.53274
